Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
Copahue,Chili,Amérique du Sud,,,1960,Historical Observations;
Semeru,Indonésie,Asie,,,2010,Historical Observations;
Sangay,Equateur,Amérique du Sud,,,2011,Historical Observations;
Tungurahua,Equateur,Amérique du Sud,,,2011,Historical Observations;
Semeru,Indonésie,Asie,,,2011,Historical Observations;
Sangay,Equateur,Amérique du Sud,,,2013,Historical Observations;
Semeru,Indonésie,Asie,,,2013,Historical Observations;
Pacaya,Guatémala,Amérique du Nord,MacKenney Crater,,2014,Historical Observations;
Semeru,Indonésie,Asie,,,2014,Historical Observations;
Sangay,Equateur,Amérique du Sud,,,2015,Historical Observations;
Sangay,Equateur,Amérique du Sud,,,2016,Historical Observations;
Cleveland,Alaska,Amérique du Nord,,,2017,Historical Observations;
Copahue,Chili,Amérique du Sud,,,2017,Historical Observations;
Poas,Costa Rica,Amérique du Nord,,,2017,Historical Observations;
Rincon de la Vieja,Costa Rica,Amérique du Nord,,,2017,Historical Observations;
Sangay,Equateur,Amérique du Sud,,,2017,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,,,2017,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,,,2017,Historical Observations;
Fernandina,îles Galapagos,Amérique du Sud,,,2017,Historical Observations;
Agung,Indonésie,Asie,,,2017,Historical Observations;
Dempo,Indonésie,Asie,,,2017,Historical Observations;
Dieng Volcanic Complex,Indonésie,Asie,Sileri Crater,,2017,Historical Observations;
Krakatau,Indonésie,Asie,,,2017,Historical Observations;
Marapi,Indonésie,Asie,,,2017,Historical Observations;
Sangeang Api,Indonésie,Asie,,,2017,Historical Observations;
Kirishimayama,Japon,Asie,,,2017,Historical Observations;
San Cristobal,Nicaragua,Amérique du Nord,,,2017,Historical Observations;
Ulawun,Papouasie Nouvelle Guinée,Océanie,,,2017,Historical Observations;
Bulusan,Philippines,Asie,,,2017,Historical Observations;
Kanlaon,Philippines,Asie,,,2017,Historical Observations;
Karymsky,Russie,Europe,,,2017,Historical Observations;
San Miguel,Salvador,Amérique du Nord,,,2017,Historical Observations;
Lopevi,Vanuatu,Océanie,,,2017,Historical Observations;
Kadovar,Papouasie Nouvelle Guinée,Océanie,,,2018,Historical Observations;
Mayon,Philippines,Asie,,,2018,Historical Observations;
San Miguel,Salvador,Amérique du Nord,,,2018,Historical Observations;
Erta Ale,Ethiopie,Afrique,,0,1960,Historical Observations;
Suwanosejima,Japon,Asie,Submarine E flank (Suwanose-jima Oki),0,1960,Historical Observations;
Epi,Vanuatu,Océanie,,0,1960,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,NE flank (east of Cratère Picard),0,1961,Historical Observations;
Protector Seamounts,Géorgie du Sud,Antarctique,,0,1962,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (945-990 m),0,1962,Historical Observations;
Lopevi,Vanuatu,Océanie,NW flank,0,1962,Historical Observations;
Wolf,Equateur,Amérique du Sud,SE flank (610 m),0,1963,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (825-960 m),0,1963,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (700-840 m),0,1963,Historical Observations;
Erebus,île de Ross,Antarctique,,0,1963,Historical Observations;
Rumble III,Nouvelle-Zélande,Océanie,,0,1963,Hydrophonic;
Kiska,Alaska,Amérique du Nord,,0,1964,Historical Observations;
Southern EPR at 8°S,Hawaï,Amérique du Nord,East Pacific Rise (8.3 deg S),0,1964,Historical Observations;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1965,Hydrophonic;
Kilauea,Hawaï,Amérique du Nord,East rift zone (700-915 m),0,1965,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (915-960 m),0,1965,Historical Observations;
Southern EPR-Segment K,Hawaï,Amérique du Nord,South of Aldo-Kihi lava flow,0,1965,Magnetism;
Rinjani,Indonésie,Asie,Gunung Barujari,0,1965,Historical Observations;
Izu-Torishima,Japon,Asie,,0,1965,Hydrophonic;
Trident,Alaska,Amérique du Nord,SW flank,0,1966,Historical Observations;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1966,Hydrophonic;
Ruby,îles Mariannes du Nord,Asie,,0,1966,Hydrophonic;
Izalco,Salvador,Amérique du Nord,SSE flank (550 m below summit),0,1966,Historical Observations;
Rocard,Tahiti,Océanie,,0,1966,Hydrophonic;
Erta Ale,Ethiopie,Afrique,,0,1967,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Halemaumau,0,1967,Historical Observations;
Farallon de Pajaros,îles Mariannes du Nord,Asie,SW of Uracas (Makhahnas seamount),0,1967,Hydrophonic;
Tambora,Indonésie,Asie,NE part of caldera floor,0,1967,Historical Observations;
Macdonald,Polynésie Française,Amérique du Sud,,0,1967,Hydrophonic;
Kilauea,Hawaï,Amérique du Nord,East rift zone (580-885 m),0,1968,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (730-915 m),0,1968,Historical Observations;
Kverkfjoll,Islande,Europe,,0,1968,Historical Observations;
Etna,Italie,Europe,SE flank (2550 m),0,1968,Historical Observations;
Fukujin,Japon,Asie,,0,1968,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (885-945 m),0,1969,Historical Observations;
"Kilauea,Hawaï,Amérique du Nord,""East rift zone (Mauna Ulu, 960 m)"",0,1969,Historical Observations";
Moua Pihaa,îles du Vent,Océanie,,0,1969,Hydrophonic;
"Supply Reef,îles Mariannes du Nord,Asie,""NW of Supply Reef (20.24 N, 145.02 E)"",0,1969,Hydrophonic";
Moua Pihaa,îles du Vent,Océanie,,0,1970,Hydrophonic;
Rumble III,Nouvelle-Zélande,Océanie,,0,1970,Hydrophonic;
Soufriere St. Vincent,Antilles,Amérique du Nord,,0,1971,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Kilauea Caldera,0,1971,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Halemaumau and upper SW rift zone,0,1971,Historical Observations;
Rocard,Tahiti,Océanie,,0,1971,Hydrophonic;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1972,Hydrophonic;
Fernandina,îles Galapagos,Amérique du Sud,SE caldera bench,0,1972,Historical Observations;
Galapagos Rift,îles Galapagos,Amérique du Sud,Galápagos Rift (Clambake vent area),0,1972,Historical Observations;
Kavachi,îles Salomon,Océanie,,0,1972,Historical Observations;
Central Bismarck Sea,Papouasie Nouvelle Guinée,Océanie,,0,1972,Hydrophonic;
Rocard,Tahiti,Océanie,,0,1972,Hydrophonic;
Korovin,Alaska,Amérique du Nord,,0,1973,Historical Observations;
"Kilauea,Hawaï,Amérique du Nord,""East rift zone, Pauahi, Hiiaka"",0,1973,Historical Observations";
"Kilauea,Hawaï,Amérique du Nord,""East rift zone, Pauahi"",0,1973,Historical Observations";
Rumble III,Nouvelle-Zélande,Océanie,,0,1973,Hydrophonic;
Vailulu'u,Océan pacifique,Océanie,,0,1973,Hydrophonic;
